Survived,Pclass,Ticket_num,Cabin_quant,Cabin_num,Cabin_dist,Sex_F,Sex_M,Ticket_pref_C,Ticket_pref_STON/O2,Honorific_Mr,Cabin_pref_A,Cabin_pref_B,Cabin_pref_C,Cabin_pref_D,Cabin_pref_E,Cabin_pref_F,Cabin_pref_G,Cabin_pref_T,(Fare)(Equal_Ticket^-1),(Fare^-1)(Equal_Ticket),(Age)(Fare^-1)(Age_min^-1),(Fare^-1)(Equal_Ticket)(Age_max),(Fare^-1)(Equal_Ticket^2),(Fare^-1)(Size_Family)(Age_min),(Fare^-1)(Equal_Ticket)(Age_max^-1),(Age)(Fare^-1)(Equal_Ticket^-1),(Fare^-1)(Age_max)(Age_min^-1),(Fare^-1)(Size_Family)(Age_max),(Fare)(Size_Family^-1)(Age_max^-1),(Fare^-2)(Age_min),(Age)(Fare^-1)(Equal_Ticket),(Age)(Fare^-1)(Size_Family),(Age^-1)(Fare)(Equal_Ticket^-1),(Age^-1)(Fare)(Size_Family^-1),(Age^-1)(Size_Family^-1)(Equal_Ticket),(Fare)(Size_Family^-1)(Age_min^-1),(Age^-1)(Fare)(Age_min),(Size_Family^2)(Age_min^-1),(Fare)(Age_max^-1)(Age_min),(Fare)(Age_max^2),(Fare^2)(Age_min^-1),(Fare)(Equal_Ticket^-1)(Age_max^-1),(Size_Family^-2)(Age_min),(Fare)(Equal_Ticket^-1)(Age_min^-1),(Age)(Size_Family)(Equal_Ticket^-1),(Fare)(Equal_Ticket^-1)(Age_max),(Fare)(Equal_Ticket^-2)
0,3,21171.0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,7.25,0.13793103448275862,0.13793103448275862,3.0344827586206895,0.13793103448275862,3.0344827586206895,0.006269592476489028,3.0344827586206895,0.13793103448275862,3.0344827586206895,0.32954545454545453,0.41854934601664684,3.0344827586206895,3.0344827586206895,0.32954545454545453,0.32954545454545453,0.045454545454545456,0.32954545454545453,7.25,0.045454545454545456,7.25,3509.0,2.3892045454545454,0.32954545454545453,22.0,0.32954545454545453,22.0,159.5,7.25
1,1,17599.0,1.0,85.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,35.64165,0.02805706245361817,0.014028531226809086,1.0942254356911087,0.05611412490723634,0.5330841866187452,0.0007194118577850813,0.2665420933093726,0.014397703101198797,0.5471127178455544,1.827776923076923,0.007478388158499189,1.0661683732374905,0.5330841866187452,0.9379381578947368,1.8758763157894736,0.05263157894736842,1.8758763157894736,71.2833,0.02631578947368421,69.45552307692307,108421.89929999999,133.71865418131577,0.9138884615384615,38.0,0.9379381578947368,19.0,1390.02435,17.820825
1,3,3101282.0,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,7.925,0.12618296529968454,0.12618296529968456,3.280757097791798,0.12618296529968454,1.640378548895899,0.0048531909730647905,3.280757097791798,0.12618296529968454,1.640378548895899,0.6096153846153847,0.4139756590273562,3.280757097791798,1.640378548895899,0.30480769230769234,0.6096153846153847,0.07692307692307693,0.6096153846153847,7.925,0.009615384615384616,7.925,5357.3,2.4156009615384617,0.30480769230769234,104.0,0.30480769230769234,13.0,206.04999999999998,7.925
1,1,113803.0,1.0,123.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,26.55,0.03766478342749529,0.018832391713747645,1.3935969868173257,0.07532956685499058,0.6591337099811676,0.0010179671196620349,0.3295668549905838,0.019908528383104654,0.6967984934086628,1.4351351351351354,0.012413064218101084,1.3182674199623352,0.6591337099811676,0.7585714285714286,1.5171428571428571,0.05714285714285714,1.5171428571428571,53.1,0.02857142857142857,50.22972972972973,72693.90000000001,80.56028571428571,0.7175675675675677,35.0,0.7585714285714286,17.5,982.35,13.275
0,3,373450.0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,8.05,0.12422360248447203,0.12422360248447202,4.3478260869565215,0.12422360248447203,2.1739130434782608,0.0035492457852706293,4.3478260869565215,0.12422360248447203,2.1739130434782608,0.46,0.5401026194977044,4.3478260869565215,2.1739130434782608,0.23,0.46,0.05714285714285714,0.46,8.049999999999999,0.007142857142857143,8.05,9861.25,1.8515000000000001,0.23,140.0,0.23,17.5,281.75,8.05
0,3,330877.0,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,8.4583,0.11822706690469717,0.11822706690469717,4.497559290843728,0.11822706690469717,2.248779645421864,0.0031078277005361235,4.497559290843728,0.11822706690469717,2.248779645421864,0.44468563295467006,0.5317332431864238,4.497559290843728,2.248779645421864,0.22234281647733503,0.44468563295467006,0.052573878078889386,0.44468563295467006,8.4583,0.006571734759861173,8.4583,12240.609652581777,1.8806422446102429,0.22234281647733503,152.166822998974,0.22234281647733503,19.02085287487175,321.76815974305543,8.4583
0,1,17463.0,1.0,46.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,25.93125,0.038563509279344425,0.026069770304782504,2.082429501084599,0.07712701855868885,0.38505224849413233,0.0007141390607286005,0.5206073752711498,0.026069770304782507,0.5206073752711498,1.9208333333333332,0.014848965957835908,2.082429501084599,0.5206073752711498,0.4802083333333333,1.9208333333333332,0.07407407407407407,2.5970501507543817,38.35860417291632,0.006259460474221215,38.358604172916316,151231.05,67.34475672174956,0.4802083333333333,159.7581779002155,0.6492625376885954,13.5,1400.2875,12.965625
0,3,349909.0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,4.215,0.2372479240806643,0.04744958481613286,6.880189798339265,1.1862396204033214,0.37959667852906287,0.008180962899333252,0.018979833926453145,0.6880189798339265,5.504151838671412,0.1816810344827586,0.004502926198446772,0.4744958481613286,0.37959667852906287,2.1075,2.634375,0.625,2.634375,21.075,8.0,1.4534482758620688,17724.075,222.0778125,0.1453448275862069,0.125,2.1075,1.6,122.23500000000001,0.8430000000000001
1,3,347742.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7111,0.269461884616421,2.425156961547789,7.275470884643367,0.808385653849263,0.17964125641094733,0.009980069800608185,0.808385653849263,2.425156961547789,4.850313923095578,0.2061722222222222,0.008067745251225932,7.275470884643367,4.850313923095578,0.13744814814814815,0.2061722222222222,0.05555555555555555,5.56665,0.4123444444444444,4.0,0.4123444444444444,8116.1757,123.95036889000001,0.13744814814814815,0.25,3.7111,18.0,100.1997,1.2370333333333332
1,2,237736.0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,15.0354,0.06650970376577943,0.033254851882889715,2.1615653723878316,0.13301940753155886,0.465567926360456,0.002046452423562444,0.232783963180228,0.0771987632995654,1.0807826861939158,0.9252553846153846,0.01548239243254107,0.931135852720912,0.465567926360456,1.0739571428571428,2.1479142857142857,0.14285714285714285,2.1479142857142857,30.0708,0.07142857142857142,12.953575384615384,31762.282499999998,64.58950090285714,0.4626276923076923,14.0,1.0739571428571428,7.0,488.65049999999997,7.5177
