Survived,Pclass,Age,SibSp,Parch,Fare,Ticket_num,Cabin_quant,Cabin_num,Equal_Ticket,Size_Family,Cabin_dist,Age_max,Age_min,Sex_F,Sex_M,Embarked_C,Embarked_Q,Embarked_S,Alone_No,Alone_Yes,Ticket_pref_A2,Ticket_pref_A4,Ticket_pref_A5,Ticket_pref_AQ/3,Ticket_pref_C,Ticket_pref_CA,Ticket_pref_FCC,Ticket_pref_LINE,Ticket_pref_LP,Ticket_pref_PC,Ticket_pref_SC,Ticket_pref_SC/AH,Ticket_pref_SC/PARIS,Ticket_pref_SEM_PREF,Ticket_pref_SO/PP,Ticket_pref_SOC,Ticket_pref_SOTON/OQ,Ticket_pref_SP,Ticket_pref_STON/O2,Ticket_pref_W/C,Ticket_pref_WEP,Honorific_Capt,Honorific_Col,Honorific_Don,Honorific_Dona,Honorific_Dr,Honorific_Jonkheer,Honorific_Lady,Honorific_Major,Honorific_Master,Honorific_Miss,Honorific_Mlle,Honorific_Mme,Honorific_Mr,Honorific_Mrs,Honorific_Ms,Honorific_Rev,Honorific_Sir,Honorific_the Countess,Cabin_pref_A,Cabin_pref_B,Cabin_pref_C,Cabin_pref_D,Cabin_pref_E,Cabin_pref_F,Cabin_pref_G,Cabin_pref_T
0,3,22.0,1,0,7.25,21171.0,,,1,1,,22.0,22.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,38.0,1,0,71.2833,17599.0,1.0,85.0,2,1,1.0,39.0,38.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,3,26.0,0,0,7.925,3101282.0,,,1,0,,26.0,26.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,35.0,1,0,53.1,113803.0,1.0,123.0,2,1,1.0,37.0,35.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,3,35.0,0,0,8.05,373450.0,,,1,0,,35.0,35.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,38.0417057497435,0,0,8.4583,330877.0,,,1,0,,38.0417057497435,38.0417057497435,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,54.0,0,0,51.8625,17463.0,1.0,46.0,2,0,1.0,54.0,39.93954447505387,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3,2.0,3,1,21.075,349909.0,,,5,4,,29.0,2.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,27.0,0,2,11.1333,347742.0,,,3,2,,27.0,1.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14.0,1,0,30.0708,237736.0,,,2,1,,32.5,14.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
