iter	Passed	Remaining
0	12	12569
1	24	12456
2	53	17882
3	85	21307
4	101	20166
5	117	19414
6	129	18437
7	139	17303
8	155	17167
9	175	17351
10	189	16993
11	201	16575
12	211	16059
13	225	15898
14	240	15784
15	252	15544
16	265	15375
17	277	15130
18	298	15437
19	315	15477
20	330	15418
21	342	15216
22	362	15388
23	374	15229
24	391	15270
25	404	15135
26	417	15031
27	437	15189
28	453	15172
29	467	15111
30	480	15013
31	495	15003
32	508	14902
33	522	14842
34	533	14712
35	553	14823
36	572	14913
37	587	14870
38	601	14809
39	627	15063
40	644	15073
41	660	15070
42	710	15810
43	725	15764
44	731	15521
45	745	15470
46	762	15467
47	775	15377
48	786	15273
49	799	15197
50	811	15101
51	829	15125
52	841	15038
53	852	14929
54	864	14861
55	876	14768
56	890	14724
57	903	14666
58	914	14582
59	928	14542
60	946	14568
61	962	14564
62	976	14523
63	987	14444
64	1003	14434
65	1016	14383
66	1029	14334
67	1034	14181
68	1045	14104
69	1057	14051
70	1079	14119
71	1095	14114
72	1115	14159
73	1150	14392
74	1166	14391
75	1179	14341
76	1195	14332
77	1211	14326
78	1225	14288
79	1240	14263
80	1251	14203
81	1267	14184
82	1280	14150
83	1291	14085
84	1307	14071
85	1323	14071
86	1336	14028
87	1350	13991
88	1361	13937
89	1376	13914
90	1391	13903
91	1402	13839
92	1416	13812
93	1425	13743
94	1444	13757
95	1465	13802
96	1477	13755
97	1490	13715
98	1500	13660
99	1515	13635
100	1528	13605
101	1539	13554
102	1551	13509
103	1561	13452
104	1584	13505
105	1598	13480
106	1606	13405
107	1621	13388
108	1644	13443
109	1661	13443
110	1684	13487
111	1717	13613
112	1745	13702
113	1762	13700
114	1781	13712
115	1796	13693
116	1809	13653
117	1820	13607
118	1837	13602
119	1855	13605
120	1867	13566
121	1880	13533
122	1893	13501
123	1910	13499
124	1926	13488
125	1944	13486
126	1960	13474
127	1971	13432
128	1989	13431
129	2006	13430
130	2022	13414
131	2039	13411
132	2056	13406
133	2071	13387
134	2085	13364
135	2097	13324
136	2112	13307
137	2131	13313
138	2145	13291
139	2158	13262
140	2173	13239
141	2207	13338
142	2223	13324
143	2256	13414
144	2274	13410
145	2290	13395
146	2303	13365
147	2316	13338
148	2330	13312
149	2344	13285
150	2356	13251
151	2373	13239
152	2393	13250
153	2408	13232
154	2422	13207
155	2437	13187
156	2452	13166
157	2469	13162
158	2482	13131
159	2494	13096
160	2511	13090
161	2539	13138
162	2575	13222
163	2618	13349
164	2636	13342
165	2655	13341
166	2714	13539
167	2730	13521
168	2742	13485
169	2757	13463
170	2774	13451
171	2793	13449
172	2811	13439
173	2824	13408
174	2850	13436
175	2864	13412
176	2880	13393
177	2892	13355
178	2905	13328
179	2920	13304
180	2933	13275
181	2947	13245
182	2962	13224
183	2982	13227
184	2998	13211
185	3021	13224
186	3059	13301
187	3080	13305
188	3111	13351
189	3148	13422
190	3163	13397
191	3178	13376
192	3199	13379
193	3236	13444
194	3290	13584
195	3312	13588
196	3391	13823
197	3408	13805
198	3446	13871
199	3464	13856
200	3481	13838
201	3518	13900
202	3529	13856
203	3547	13840
204	3562	13815
205	3594	13855
206	3617	13860
207	3635	13842
208	3646	13799
209	3670	13807
210	3692	13808
211	3722	13836
212	3840	14189
213	3861	14182
214	3928	14342
215	3948	14331
216	3967	14314
217	4027	14448
218	4044	14424
219	4065	14412
220	4206	14828
221	4285	15019
222	4315	15035
223	4330	15003
224	4344	14964
225	4395	15053
226	4411	15022
227	4439	15032
228	4457	15006
229	4484	15013
230	4496	14969
231	4535	15013
232	4584	15090
233	4617	15116
234	4636	15091
235	4661	15091
236	4717	15188
237	4744	15190
238	4759	15154
239	4775	15120
240	4800	15119
241	4819	15095
242	4833	15056
243	4878	15116
244	4899	15099
245	4914	15063
246	4946	15079
247	5025	15237
248	5050	15232
249	5066	15198
250	5089	15186
251	5105	15153
252	5116	15107
253	5130	15068
254	5146	15034
255	5164	15008
256	5180	14976
257	5194	14939
258	5219	14933
259	5263	14981
260	5288	14973
261	5303	14939
262	5317	14902
263	5337	14879
264	5359	14865
265	5375	14833
266	5389	14796
267	5407	14768
268	5425	14744
269	5439	14705
270	5453	14668
271	5467	14633
272	5500	14647
273	5514	14611
274	5528	14574
275	5548	14555
276	5564	14522
277	5576	14483
278	5593	14453
279	5623	14460
280	5659	14482
281	5709	14536
282	5732	14523
283	5757	14514
284	5789	14525
285	5815	14517
286	5831	14487
287	5886	14552
288	5911	14543
289	5938	14538
290	5963	14529
291	5984	14509
292	6000	14479
293	6034	14490
294	6096	14570
295	6111	14535
296	6124	14497
297	6137	14457
298	6242	14636
299	6284	14662
300	6349	14745
301	6395	14780
302	6419	14765
303	6433	14729
304	6463	14727
305	6483	14703
306	6497	14667
307	6517	14642
308	6538	14621
309	6558	14597
310	6575	14568
311	6604	14563
312	6623	14537
313	6652	14534
314	6674	14513
315	6688	14477
316	6699	14435
